year,month,date,time,Press_sfc[hPa],Ta[C]
2022,5,7,14,1014.6,24.1
2022,5,7,15,1014.5,24.2
2022,5,7,16,1014.2,23.4
2022,5,7,17,1014.1,23
2022,5,7,18,1014.5,22.7
2022,5,7,19,1014.5,22.9
2022,5,7,20,1015.1,23.1
2022,5,7,21,1015.1,23.2
2022,5,7,22,1015.5,23.6
2022,5,7,23,1015.5,23.7
2022,5,7,24,1015.3,23.7
2022,5,8,1,1014.9,23.5
2022,5,8,2,1014.2,23.3
2022,5,8,3,1014.3,23.4
2022,5,8,4,1014.2,23.4
2022,5,8,5,1013.7,23.3
2022,5,8,6,1014.7,23
2022,5,8,7,1015.4,23.5
2022,5,8,8,1015,23.7
2022,5,8,9,1016.1,23.9
2022,5,8,10,1015.7,24.2
2022,5,8,11,1015.1,24.7
2022,5,8,12,1015.2,24.3
2022,5,8,13,1014.7,24
2022,5,8,14,1013.8,24.1
2022,5,8,15,1013.6,23.8
2022,5,8,16,1013.5,23.4
2022,5,8,17,1013.4,23.3
2022,5,8,18,1013.3,23
2022,5,8,19,1014.2,23.1
2022,5,8,20,1014.2,23
2022,5,8,21,1014.6,22.9
2022,5,8,22,1014.9,23
2022,5,8,23,1014.7,22.9
2022,5,8,24,1014.6,23.2
2022,5,9,1,1013.9,23.1
2022,5,9,2,1013,22.8
2022,5,9,3,1013.1,22.9
2022,5,9,4,1013.4,23
2022,5,9,5,1013.8,23.2
2022,5,9,6,1014.3,22.9
2022,5,9,7,1015,22.9
2022,5,9,8,1015.3,22.7
2022,5,9,9,1015.7,22.9
2022,5,9,10,1015.8,23.2
2022,5,9,11,1015.2,23.5
2022,5,9,12,1015.2,23.5
2022,5,9,13,1014.6,23.6
2022,5,9,14,1014.5,23
2022,5,9,15,1013.6,22.9
2022,5,9,16,1013.1,22.8
2022,5,9,17,1013.1,22.9
2022,5,9,18,1013.2,22.8
2022,5,9,19,1013.6,22.8
2022,5,9,20,1014.3,22.9
2022,5,9,21,1014.6,23.1
2022,5,9,22,1014.5,22.9
2022,5,9,23,1014.3,23
2022,5,9,24,1013.9,22.9
2022,5,10,1,1013.2,23
2022,5,10,2,1012.9,22.9
2022,5,10,3,1012.1,22.9
2022,5,10,4,1011.8,22.9
2022,5,10,5,-9999,23.2
2022,5,10,6,1012.4,23.6
2022,5,10,7,1012.7,24
2022,5,10,8,1013.3,24.3
2022,5,10,9,1013.1,25.6
2022,5,10,10,1012.8,25.5
2022,5,10,11,1012.4,26.2
2022,5,10,12,1011.8,25.9
2022,5,10,13,1011.3,24.9
2022,5,10,14,1010.4,24
2022,5,10,15,1010.5,-9999
2022,5,10,16,1010,24.1
2022,5,10,17,1009.7,24.2
2022,5,10,18,1010.3,24.3
2022,5,10,19,1011,24.3
2022,5,10,20,1011.3,24
2022,5,10,21,1011.2,23.2
2022,5,10,22,1011,23.1
2022,5,10,23,1011.2,23.1
2022,5,10,24,1010.4,23
